[2025-01-24T22:33:34.944+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:33:34.958+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.964+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.965+0000] {taskinstance.py:2865} INFO - Starting attempt 16 of 16
[2025-01-24T22:33:35.858+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-26-26.pdf already broken down into
[2025-01-24T22:33:35.858+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-27-27.pdf already broken down into
[2025-01-24T22:33:35.858+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-28-28.pdf already broken down into
[2025-01-24T22:33:35.859+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-29-29.pdf already broken down into
[2025-01-24T22:33:35.859+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-30-30.pdf already broken down into
[2025-01-24T22:33:35.860+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-31-31.pdf already broken down into
[2025-01-24T22:33:35.860+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-32-32.pdf already broken down into
[2025-01-24T22:33:35.860+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-33-33.pdf already broken down into
[2025-01-24T22:33:35.861+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-34-34.pdf already broken down into
[2025-01-24T22:33:35.861+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-35-35.pdf already broken down into
[2025-01-24T22:33:35.861+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-36-36.pdf already broken down into
[2025-01-24T22:33:35.862+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-37-37.pdf already broken down into
[2025-01-24T22:33:35.862+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-03_7145.pdf into multiple PDF single pages
[2025-01-24T22:33:35.985+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-0-0.pdf already broken down into
[2025-01-24T22:33:35.986+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-1-1.pdf already broken down into
[2025-01-24T22:33:35.986+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-2-2.pdf already broken down into
[2025-01-24T22:33:35.987+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-3-3.pdf already broken down into
[2025-01-24T22:33:35.987+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-4-4.pdf already broken down into
[2025-01-24T22:33:35.987+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-5-5.pdf already broken down into
[2025-01-24T22:33:35.988+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-6-6.pdf already broken down into
[2025-01-24T22:33:35.988+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-7-7.pdf already broken down into
[2025-01-24T22:33:35.989+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-8-8.pdf already broken down into
[2025-01-24T22:33:35.989+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-9-9.pdf already broken down into
[2025-01-24T22:33:35.989+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-10-10.pdf already broken down into
[2025-01-24T22:33:35.990+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-11-11.pdf already broken down into
[2025-01-24T22:33:35.990+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-12-12.pdf already broken down into
[2025-01-24T22:33:35.991+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-13-13.pdf already broken down into
[2025-01-24T22:33:35.991+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-14-14.pdf already broken down into
[2025-01-24T22:33:35.991+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-15-15.pdf already broken down into
[2025-01-24T22:33:35.992+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-16-16.pdf already broken down into
[2025-01-24T22:33:35.992+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-17-17.pdf already broken down into
[2025-01-24T22:33:35.993+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-18-18.pdf already broken down into
[2025-01-24T22:33:35.993+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-19-19.pdf already broken down into
[2025-01-24T22:33:35.993+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-20-20.pdf already broken down into
[2025-01-24T22:33:35.994+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-21-21.pdf already broken down into
[2025-01-24T22:33:35.994+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-22-22.pdf already broken down into
[2025-01-24T22:33:35.994+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-23-23.pdf already broken down into
[2025-01-24T22:33:35.995+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-24-24.pdf already broken down into
[2025-01-24T22:33:35.995+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-25-25.pdf already broken down into
[2025-01-24T22:33:35.996+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-26-26.pdf already broken down into
[2025-01-24T22:33:35.996+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-27-27.pdf already broken down into
[2025-01-24T22:33:35.996+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-28-28.pdf already broken down into
[2025-01-24T22:33:35.997+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-29-29.pdf already broken down into
[2025-01-24T22:33:35.997+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-30-30.pdf already broken down into
[2025-01-24T22:33:35.998+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-31-31.pdf already broken down into
[2025-01-24T22:33:35.998+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-32-32.pdf already broken down into
[2025-01-24T22:33:35.998+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-33-33.pdf already broken down into
[2025-01-24T22:33:35.999+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-03_7145-page-34-34.pdf already broken down into
[2025-01-24T22:33:35.999+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-04_7146.pdf into multiple PDF single pages
[2025-01-24T22:33:36.150+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-0-0.pdf already broken down into
[2025-01-24T22:33:36.150+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-1-1.pdf already broken down into
[2025-01-24T22:33:36.150+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-2-2.pdf already broken down into
[2025-01-24T22:33:36.151+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-3-3.pdf already broken down into
[2025-01-24T22:33:36.151+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-4-4.pdf already broken down into
[2025-01-24T22:33:36.152+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-5-5.pdf already broken down into
[2025-01-24T22:33:36.152+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-6-6.pdf already broken down into
[2025-01-24T22:33:36.153+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-7-7.pdf already broken down into
[2025-01-24T22:33:36.153+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-8-8.pdf already broken down into
[2025-01-24T22:33:36.153+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-9-9.pdf already broken down into
[2025-01-24T22:33:36.154+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-10-10.pdf already broken down into
[2025-01-24T22:33:36.154+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-11-11.pdf already broken down into
[2025-01-24T22:33:36.154+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-12-12.pdf already broken down into
[2025-01-24T22:33:36.155+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-13-13.pdf already broken down into
[2025-01-24T22:33:36.155+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-14-14.pdf already broken down into
[2025-01-24T22:33:36.155+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-15-15.pdf already broken down into
[2025-01-24T22:33:36.156+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-16-16.pdf already broken down into
[2025-01-24T22:33:36.156+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-17-17.pdf already broken down into
[2025-01-24T22:33:36.157+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-18-18.pdf already broken down into
[2025-01-24T22:33:36.157+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-19-19.pdf already broken down into
[2025-01-24T22:33:36.157+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-20-20.pdf already broken down into
[2025-01-24T22:33:36.158+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-21-21.pdf already broken down into
[2025-01-24T22:33:36.158+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-22-22.pdf already broken down into
[2025-01-24T22:33:36.158+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-23-23.pdf already broken down into
[2025-01-24T22:33:36.158+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-24-24.pdf already broken down into
[2025-01-24T22:33:36.159+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-25-25.pdf already broken down into
[2025-01-24T22:33:36.159+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-26-26.pdf already broken down into
[2025-01-24T22:33:36.159+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-27-27.pdf already broken down into
[2025-01-24T22:33:36.160+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-28-28.pdf already broken down into
[2025-01-24T22:33:36.160+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-29-29.pdf already broken down into
[2025-01-24T22:33:36.161+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-30-30.pdf already broken down into
[2025-01-24T22:33:36.161+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-31-31.pdf already broken down into
[2025-01-24T22:33:36.161+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-32-32.pdf already broken down into
[2025-01-24T22:33:36.162+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-33-33.pdf already broken down into
[2025-01-24T22:33:36.162+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-34-34.pdf already broken down into
[2025-01-24T22:33:36.162+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-35-35.pdf already broken down into
[2025-01-24T22:33:36.163+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-36-36.pdf already broken down into
[2025-01-24T22:33:36.163+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-37-37.pdf already broken down into
[2025-01-24T22:33:36.163+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-38-38.pdf already broken down into
[2025-01-24T22:33:36.164+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-04_7146-page-39-39.pdf already broken down into
[2025-01-24T22:33:36.164+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-05_7147.pdf into multiple PDF single pages
[2025-01-24T22:33:36.659+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-0-0.pdf already broken down into
[2025-01-24T22:33:36.660+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-1-1.pdf already broken down into
[2025-01-24T22:33:36.660+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-2-2.pdf already broken down into
[2025-01-24T22:33:36.660+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-3-3.pdf already broken down into
[2025-01-24T22:33:36.661+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-4-4.pdf already broken down into
[2025-01-24T22:33:36.661+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-5-5.pdf already broken down into
[2025-01-24T22:33:36.661+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-6-6.pdf already broken down into
[2025-01-24T22:33:36.662+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-7-7.pdf already broken down into
[2025-01-24T22:33:36.663+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-8-8.pdf already broken down into
[2025-01-24T22:33:36.663+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-9-9.pdf already broken down into
[2025-01-24T22:33:36.663+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-10-10.pdf already broken down into
[2025-01-24T22:33:36.664+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-11-11.pdf already broken down into
[2025-01-24T22:33:36.664+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-12-12.pdf already broken down into
[2025-01-24T22:33:36.664+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-13-13.pdf already broken down into
[2025-01-24T22:33:36.665+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-14-14.pdf already broken down into
[2025-01-24T22:33:36.665+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-15-15.pdf already broken down into
[2025-01-24T22:33:36.665+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-16-16.pdf already broken down into
[2025-01-24T22:33:36.666+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-17-17.pdf already broken down into
[2025-01-24T22:33:36.666+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-18-18.pdf already broken down into
[2025-01-24T22:33:36.666+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-19-19.pdf already broken down into
[2025-01-24T22:33:36.667+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-20-20.pdf already broken down into
[2025-01-24T22:33:36.667+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-21-21.pdf already broken down into
[2025-01-24T22:33:36.667+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-05_7147-page-22-22.pdf already broken down into
[2025-01-24T22:33:36.668+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-06_7148.pdf into multiple PDF single pages
[2025-01-24T22:33:36.807+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-0-0.pdf already broken down into
[2025-01-24T22:33:36.808+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-1-1.pdf already broken down into
[2025-01-24T22:33:36.808+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-2-2.pdf already broken down into
[2025-01-24T22:33:36.809+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-3-3.pdf already broken down into
[2025-01-24T22:33:36.809+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-4-4.pdf already broken down into
[2025-01-24T22:33:36.809+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-5-5.pdf already broken down into
[2025-01-24T22:33:36.810+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-6-6.pdf already broken down into
[2025-01-24T22:33:36.810+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-7-7.pdf already broken down into
[2025-01-24T22:33:36.811+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-8-8.pdf already broken down into
[2025-01-24T22:33:36.811+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-9-9.pdf already broken down into
[2025-01-24T22:33:36.812+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-10-10.pdf already broken down into
[2025-01-24T22:33:36.812+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-11-11.pdf already broken down into
[2025-01-24T22:33:36.812+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-12-12.pdf already broken down into
[2025-01-24T22:33:36.813+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-13-13.pdf already broken down into
[2025-01-24T22:33:36.813+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-14-14.pdf already broken down into
[2025-01-24T22:33:36.813+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-15-15.pdf already broken down into
[2025-01-24T22:33:36.813+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-16-16.pdf already broken down into
[2025-01-24T22:33:36.814+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-17-17.pdf already broken down into
[2025-01-24T22:33:36.814+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-18-18.pdf already broken down into
[2025-01-24T22:33:36.815+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-19-19.pdf already broken down into
[2025-01-24T22:33:36.815+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-20-20.pdf already broken down into
[2025-01-24T22:33:36.815+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-21-21.pdf already broken down into
[2025-01-24T22:33:36.816+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-22-22.pdf already broken down into
[2025-01-24T22:33:36.816+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-23-23.pdf already broken down into
[2025-01-24T22:33:36.816+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-24-24.pdf already broken down into
[2025-01-24T22:33:36.817+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-25-25.pdf already broken down into
[2025-01-24T22:33:36.817+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-26-26.pdf already broken down into
[2025-01-24T22:33:36.817+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-27-27.pdf already broken down into
[2025-01-24T22:33:36.818+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-28-28.pdf already broken down into
[2025-01-24T22:33:36.818+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-29-29.pdf already broken down into
[2025-01-24T22:33:36.818+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-30-30.pdf already broken down into
[2025-01-24T22:33:36.819+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-31-31.pdf already broken down into
[2025-01-24T22:33:36.819+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-06_7148-page-32-32.pdf already broken down into
